loan_status,loan_amnt,int_rate,installment,annual_inc,revol_bal,revol_util,total_acc,acc_open_past_24mths,total_pymnt,loss
0,6000,13.33,203.12,19000.0,4203.0,44.2,11.0,6.0,2622.79,3377.21
1,15000,7.89,469.29,65000.0,10082.0,61.9,22.0,1.0,15929.33,-929.3299999999999
1,7000,9.17,223.16,48000.0,5801.0,33.3,24.0,8.0,7233.14,-233.14000000000033
1,24000,7.49,746.44,128000.0,37066.0,58.2,17.0,1.0,26131.192000000003,-2131.1920000000027
0,20400,12.29,680.41,67000.0,8569.0,19.6,43.0,9.0,6768.33,13631.67
0,9600,7.89,300.35,83000.0,13544.0,82.1,22.0,4.0,4215.71,5384.29
1,10200,9.17,325.17,57620.0,23995.0,45.1,25.0,6.0,10543.08,-343.0799999999999
1,28000,5.32,833.0390000000002,128000.0,18834.0,30.5,32.0,4.0,26131.192000000003,1868.8079999999973
1,25000,7.89,782.15,60000.0,14627.0,29.7,16.0,2.0,25620.42,-620.4199999999983
1,15000,9.17,478.19,85000.0,8722.0,46.4,24.0,3.0,16339.69,-1339.6900000000005
1,5000,9.17,159.4,50000.0,37066.0,33.6,38.0,9.0,5377.8,-377.8000000000002
1,28000,12.29,833.0390000000002,104000.0,24786.0,41.4,43.0,9.0,26131.192000000003,1868.8079999999973
1,9000,11.53,296.92,47000.0,10681.0,55.1,29.0,9.0,9942.830001,-942.8300010000003
1,23000,10.99,752.89,65000.0,14977.0,56.1,12.0,6.0,25239.12,-2239.119999999999
1,7000,6.89,215.79,45000.0,24538.0,47.4,17.0,3.0,7247.59,-247.59000000000015
1,10000,11.44,329.48,30000.0,9953.0,38.7,39.0,7.0,11314.45,-1314.4500000000007
1,6000,7.89,187.72,45000.0,6953.0,80.8,41.0,2.0,6279.9,-279.89999999999964
1,4350,14.65,150.05,54000.0,3644.0,7.1,11.0,6.0,4526.74,-176.73999999999978
1,25000,16.99,833.0390000000002,128000.0,11484.0,65.2,43.0,9.0,25212.38,-212.38000000000102
1,7500,9.49,240.22,60000.0,5627.0,25.8,43.0,4.0,8039.73,-539.7299999999996
0,35000,17.57,833.0390000000002,100000.0,37066.0,85.0,30.0,8.0,4962.87,30037.13
1,5000,16.49,177.0,53000.0,4739.0,23.6,43.0,6.0,6013.9,-1013.8999999999996
0,11400,16.99,406.39,30000.0,5054.0,60.9,15.0,6.0,4088.99,7311.01
0,21000,6.92,647.66,95000.0,37066.0,63.5,43.0,2.0,7802.82,13197.18
1,28000,6.49,833.0390000000002,128000.0,37066.0,72.7,43.0,9.0,26131.192000000003,1868.8079999999973
1,12775,10.99,418.18,53000.0,17707.0,28.2,37.0,9.0,14027.66,-1252.6599999999999
1,15000,8.18,471.3,77000.0,30869.0,71.1,30.0,4.0,15934.28,-934.2800000000007
1,9600,9.17,306.04,95000.0,4638.0,53.3,38.0,5.0,10510.09,-910.0900000000001
1,28000,5.32,833.0390000000002,128000.0,37066.0,35.0,43.0,8.0,26131.192000000003,1868.8079999999973
0,20000,7.89,625.72,70000.0,15892.0,19.2,15.0,3.0,6874.15,13125.85
1,20000,11.53,659.81,128000.0,37066.0,48.3,27.0,5.0,20878.26,-878.2599999999984
1,8000,8.18,251.36,60000.0,13407.0,62.9,21.0,4.0,8182.59,-182.59000000000015
1,35000,12.05,833.0390000000002,90000.0,23268.0,71.6,22.0,3.0,26131.192000000003,8868.807999999997
1,8000,8.18,251.36,58600.0,11384.0,57.0,20.0,9.0,8526.75,-526.75
